tiempo,magnitud
0.0,-5.297999999999999
0.009594999995897524,-5.907
0.019339999991643708,-5.3870000000000005
0.9807870000004186,-5.185
0.9902779999974882,-5.184
1.0002199999944423,-5.132000000000001
2.0057639999940875,-5.065
2.015427999998792,-5.1979999999999995
2.025405000000319,-5.042
2.987210999999661,-4.904
3.0138999999981024,-5.045
5.108542000001762,-5.044
5.179281999997329,-5.205
5.978865999997652,-4.987
6.107349999998405,-5.042
6.182545999996364,-4.922
8.982349999998405,-5.092
9.173831000000064,-4.933
10.091955999996571,-4.734
10.953506999998353,-4.994
11.038124999999127,-5.0360000000000005
11.161805999996432,-5.0
12.09363399999711,-4.697
12.128876999995555,-5.038
13.044582999995328,-5.303
13.08681699999579,-5.716
17.964097000003676,-4.573
18.06371499999659,-5.17
18.15620399999898,-5.109
18.980925999996543,-5.074
19.087626999993518,-5.254
19.15516199999547,-5.142
19.939456000000064,-5.084
20.084999999999127,-5.209
20.16273099999671,-5.26
21.974872999999207,-5.999
22.112836000000243,-5.3629999999999995
26.10618099999556,-4.881
26.18255799999315,-4.41
27.02002299999731,-5.303
28.00376200000028,-4.658
28.120231000000786,-4.913
30.168379999995523,-5.192
31.079918999996153,-5.23
32.04958299999271,-5.013999999999999
32.102302999999665,-5.129
33.13234999999986,-5.087
58.945936999996775,-5.1339999999999995
60.99245399999927,-5.142
61.959860999995726,-5.124
64.02305599999818,-5.252000000000001
65.07822899999883,-5.277
69.11518500000238,-5.122999999999999
71.08423599999514,-5.2829999999999995
72.10968699999648,-5.01
73.11197900000116,-4.895
84.80115699999442,-5.212999999999999
91.10067099999287,-5.084
91.9532990000007,-4.458
93.03950199999235,-5.165
93.87519700000121,-5.101
95.87768499999947,-5.182
95.96385400000145,-5.207000000000001
96.03880799999752,-5.345
96.80944399999862,-5.106
100.03598399999464,-5.119
103.78446799999801,-5.247999999999999
104.81318299999839,-5.125
105.76088000000163,-5.013
105.97216399999888,-5.07
106.76435199999833,-5.41
107.76225699999486,-5.088
107.94815999999992,-5.034
109.91631899999629,-5.176
111.92045099999814,-5.225
113.96089100000245,-5.321000000000001
114.80305599999701,-5.12
115.81873799999448,-5.175
115.98283599999559,-5.171
117.87944399999833,-5.022
118.00545099999727,-5.042
123.91825199999585,-5.149
124.04136599999765,-5.337999999999999
125.00020799999766,-5.132999999999999
125.81650499999523,-5.103
140.96620399999665,-5.284
141.80187499999738,-5.608
142.0454979999995,-5.1770000000000005
142.80477999999857,-5.287999999999999
150.84785899999406,-5.272
160.79883100000006,-5.171
160.96908599999733,-4.959
161.82619200000045,-5.079
161.9547689999963,-5.078
162.02009299999918,-5.072
163.81428199999937,-5.136
163.9426039999962,-5.103
163.98763899999904,-5.077
164.80240699999558,-5.11
164.92549799999688,-5.007
164.94402799999807,-4.97
164.99217599999974,-5.019
165.82399299999815,-4.887
165.9304509999929,-4.99
172.7712379999939,-5.101
172.88545099999465,-5.184
173.00957200000266,-4.926
174.77348399999755,-5.103
174.8831829999981,-5.059
174.9685759999993,-4.997
176.7878589999964,-4.9830000000000005
176.9665279999972,-5.204
177.77638899999874,-5.046
177.9680559999979,-4.944
178.7738429999954,-5.056
179.8699309999938,-5.141
179.963957999993,-4.987
180.76682900000014,-5.159
182.78304399999615,-5.109
182.96689799999876,-4.977
183.79145799999242,-4.961
183.95202499999868,-5.093999999999999
186.94825199999468,-5.087
187.86291699999856,-5.207000000000001
187.9469209999952,-5.095
190.96972200000164,-4.996
191.7767709999971,-5.045
191.90248799999972,-4.942
192.77561299999797,-4.993
192.93068299999868,-5.088
194.80057900000247,-5.079
194.92858799999522,-5.0169999999999995
196.85822899999766,-5.0280000000000005
197.0409720000025,-4.956
197.80552099999477,-4.963
197.92178199999762,-5.039
200.77262699999847,-4.989
201.8048609999969,-4.894
201.84185199999774,-4.923
202.0192939999979,-5.061
205.7732410000026,-4.982
207.79376200000115,-5.135
208.76910899999348,-4.914
208.88688700000057,-4.944
209.88116900000023,-4.883
211.8971989999991,-4.98
